"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8719","Заказы из «Истории заказов» отображаются в «Ленте заказов»","tests","2026-05-07","passed","2026-05-07","TestOrderHistoryInFeed","test_order_history_in_feed","",""
"","1579","Ввод почты и клик по кнопке «Восстановить»","tests","2026-05-07","passed","2026-05-07","TestRecoverPasswordWithEmail","test_recover_password_with_email","",""
"","8224","После оформления заказа его номер появляется в разделе «В работе»","tests","2026-05-07","passed","2026-05-07","TestOrderNumberInProgress","test_order_number_in_progress","",""
"","4253","Выход из аккаунта","tests","2026-05-07","passed","2026-05-07","TestLogout","test_logout","",""
"","323","Переход по клику на «Конструктор»","tests","2026-05-07","passed","2026-05-07","TestNavigateToConstructor","test_navigate_to_constructor","",""
"","20774","Клик на заказ открывает всплывающее окно с деталями","tests","2026-05-07","passed","2026-05-07","TestOrderModalDetails","test_order_modal_details","",""
"","0","Ввод почты и клик по кнопке «Восстановить»","tests","2026-05-07","broken","2026-05-07","TestRecoverPasswordWithEmail","test_recover_password_with_email","",""
"","3165","Переход в раздел «История заказов»","tests","2026-05-07","passed","2026-05-07","TestNavigateToOrderHistory","test_navigate_to_order_history","",""
"","16407","Переход на страницу восстановления пароля по кнопке «Восстановить пароль»","tests","2026-05-07","passed","2026-05-07","TestNavigateToForgotPassword","test_navigate_to_forgot_password","",""
"","0","Клик на заказ открывает всплывающее окно с деталями","tests","2026-05-07","broken","2026-05-07","TestOrderModalDetails","test_order_modal_details","",""
"","0","Заказы из «Истории заказов» отображаются в «Ленте заказов»","tests","2026-05-07","broken","2026-05-07","TestOrderHistoryInFeed","test_order_history_in_feed","",""
"","0","После оформления заказа его номер появляется в разделе «В работе»","tests","2026-05-07","broken","2026-05-07","TestOrderNumberInProgress","test_order_number_in_progress","",""
"","425","Переход по клику на «Лента заказов»","tests","2026-05-07","passed","2026-05-07","TestNavigateToOrderFeed","test_navigate_to_order_feed","",""
"","310","Переход по клику на «Конструктор»","tests","2026-05-07","passed","2026-05-07","TestNavigateToConstructor","test_navigate_to_constructor","",""
"","6998","При создании нового заказа счётчик «Выполнено за всё время» увеличивается","tests","2026-05-07","failed","2026-05-07","TestCounterAllTimeIncreases","test_counter_all_time_increases","",""
"","272","Клик на ингредиент открывает всплывающее окно с деталями","tests","2026-05-07","passed","2026-05-07","TestIngredientModalDetails","test_ingredient_modal_details","",""
"","0","Переход в личный кабинет по клику на «Личный кабинет»","tests","2026-05-07","broken","2026-05-07","TestNavigateToProfile","test_navigate_to_profile","",""
"","2972","Переход в раздел «История заказов»","tests","2026-05-07","passed","2026-05-07","TestNavigateToOrderHistory","test_navigate_to_order_history","",""
"","814","Клик по кнопке показать/скрыть пароль делает поле активным","tests","2026-05-07","passed","2026-05-07","TestShowPasswordActiveField","test_show_password_active_field","",""
"","850","Всплывающее окно закрывается кликом по крестику","tests","2026-05-07","passed","2026-05-07","TestModalClose","test_modal_close","",""
"","0","Клик по кнопке показать/скрыть пароль делает поле активным","tests","2026-05-07","broken","2026-05-07","TestShowPasswordActiveField","test_show_password_active_field","",""
"","351","Переход по клику на «Лента заказов»","tests","2026-05-07","passed","2026-05-07","TestNavigateToOrderFeed","test_navigate_to_order_feed","",""
"","5538","При создании нового заказа счётчик «Выполнено за сегодня» увеличивается","tests","2026-05-07","passed","2026-05-07","TestCounterTodayIncreases","test_counter_today_increases","",""
"","5635","При создании нового заказа счётчик «Выполнено за всё время» увеличивается","tests","2026-05-07","passed","2026-05-07","TestCounterAllTimeIncreases","test_counter_all_time_increases","",""
"","502","При добавлении ингредиента в заказ увеличивается каунтер","tests","2026-05-07","passed","2026-05-07","TestIngredientCounterIncreases","test_ingredient_counter_increases","",""
"","15793","Переход на страницу восстановления пароля по кнопке «Восстановить пароль»","tests","2026-05-07","passed","2026-05-07","TestNavigateToForgotPassword","test_navigate_to_forgot_password","",""
"","2420","Залогиненный пользователь может оформить заказ","tests","2026-05-07","passed","2026-05-07","TestLoggedInUserCanOrder","test_logged_in_user_can_order","",""
"","353","Клик на ингредиент открывает всплывающее окно с деталями","tests","2026-05-07","passed","2026-05-07","TestIngredientModalDetails","test_ingredient_modal_details","",""
"","393","При добавлении ингредиента в заказ увеличивается каунтер","tests","2026-05-07","passed","2026-05-07","TestIngredientCounterIncreases","test_ingredient_counter_increases","",""
"","3065","Переход в личный кабинет по клику на «Личный кабинет»","tests","2026-05-07","passed","2026-05-07","TestNavigateToProfile","test_navigate_to_profile","",""
"","2888","Залогиненный пользователь может оформить заказ","tests","2026-05-07","passed","2026-05-07","TestLoggedInUserCanOrder","test_logged_in_user_can_order","",""
"","3504","Выход из аккаунта","tests","2026-05-07","passed","2026-05-07","TestLogout","test_logout","",""
"","5641","При создании нового заказа счётчик «Выполнено за сегодня» увеличивается","tests","2026-05-07","passed","2026-05-07","TestCounterTodayIncreases","test_counter_today_increases","",""
"","852","Всплывающее окно закрывается кликом по крестику","tests","2026-05-07","passed","2026-05-07","TestModalClose","test_modal_close","",""
